"Sludinājumi 
 
 
datums","Modelis","Gads","Tilp.","Nobrauk.","Cena","brand"
"Pārdodu mazda cx7 2.2 dīzelis 2010, otrais gads Latvijā, atvests no Francija","CX-7",2010,"2.2D",150000,6200,"Mazda"
"Jaunā Mazda Cx-30. Benzīns, automāts. Pirkta jauna Latvijā pie dīlera, pilna","CX-3",2019,"2.0",73000,22600,"Mazda"
"Tiek pārdota Mazda 6:
- 2008.gada marts
- manuāla ātrumkārba (6 ātrumi);","Mazda6",2008,"2.0",261000,3250,"Mazda"
"Продаём авто в хорошем техническом состоянии. Визуальные дефекты:коррозия, б","Mazda6",2003,"1.8",,700,"Mazda"
"1.8 88kw benzīns teh. apskate 28.07.23 deg check engine kompis norāda uz kļū","Mazda6",2008,"1.8",325000,2500,"Mazda"
"Pārdodu Mazda 2 1.4d, TA 28.03.2023., nobraukums 168402 km, jauna motora eļļ","Mazda2",2005,"1.4D",169000,3388,"Mazda"
"For Sale Mx5 Nbfl 1.6

Engine runs perfectly 
Style bar
Heater works goo","MX-5",2001,"1.6",159000,3400,"Mazda"
"Jauna TA bez aizrādijumiem pārdodu skaistu koptu ģimenes automašīnu. Mazda 5","Mazda5",2006,"2.0",166000,2900,"Mazda"
"Расход топлива 7л. Новые тормозные диски, колодки, радиатор, ремни генератор","Premacy",2001,"2.0D",357000,990,"Mazda"
"Продаю надежный, экономичный автомобиль. Налог за 2022 год уплачен. Резина M","Mazda3",2005,"1.6D",130000,1400,"Mazda"
"Один хозяин . Новый аккумулятор. Тех осмотр до 17декабря 2022 года.","Mazda3",1998,"1.4",179000,600,"Mazda"
"Jauna tehniskā bez aizrādījumiem, 175 ZS, 4x4, daudz ekstru - Apple carplay/","CX-5",2017,"2.2D",129000,20900,"Mazda"
"Pārdodu Mazda 3, 1.6 benzīns, 2006 gada, 77kw, manuālā kārba, nobraukums 209","Mazda3",2006,"1.6",209000,900,"Mazda"
"Jaunvērtīga, kopta, godīga Mazda 6 Luxury, ar jaudīgu 2.5 dzinēju, 194 Zs (1","Mazda6",2019,"2.5",,25990,"Mazda"
"Продам автомобиль в хорошем состоянии так как стоит без дела тех осмотр прой","CX-7",2007,"2.3",370000,3800,"Mazda"
"Mazda Mazda6 2.0 benzīns, automāts. 

Auto ideālā&nbsp ;tehniskā un viz","Mazda6",2009,"2.0",138000,5750,"Mazda"
"Tikko no Vacijas 2.0D 103 kw. -Lietie diski. Webasto. mehaniska 6 atrumi kar","Mazda6",2008,"2.0D",237000,3680,"Mazda"
"Продаю 
Мазду 3
1.6 бинзин 
Автомат 
Пробег 110тродной 
Новое ТО. 
Воз","Mazda3",2004,"1.6",110000,1350,"Mazda"
"Laba automašīna ikdienas vajadzībām - ērts, žiperīgs. 
Uzticams auto ar 100","Mazda2",2009,"1.4",105000,3000,"Mazda"
"Хэтчбек, 2.0 бензин/газ. Авто в хорошем тех. состоянии, пару дней назад пост","Mazda6",2006,"2.0",214000,1470,"Mazda"
"Mazda6 izlaiduma gads 2009.beigas. 2.0dizelis ar oriģinālu un pieradamu nosk","Mazda6",2010,"2.0D",237000,5999,"Mazda"
"Pārdod mazda pikapu. Good year dubļu riepas. Jaunas atsperes. Jauns sajuga g","B2500",2001,"2.5D",318000,4500,"Mazda"
"Auto labā stāvoklī. Kopts un tīrs. Atrestaurēta turbīna, nomainīta eļļa. Nov","CX-7",2007,"2.3",124000,4250,"Mazda"
"Mazda5
2, 0 benzīns (107kW)
5 pak. manuālā ā/k
7 sēdvietas

Virsbūve be","Mazda5",2006,"2.0",151000,3180,"Mazda"
"Pārdod Mazda 6 

Auto ļoti labā vizuālā un tehniskā stāvoklī. Uz virsbūves","Mazda6",2003,"2.0",272000,1750,"Mazda"
"Продаю Mazda 6 2.0d GH, в очень хорошем состоянии, техосмотр пройден только","Mazda6",2008,"2.0D",211000,3700,"Mazda"
"Teicamā stāvokli kopts auto , Lv 5 meneši. 
Apaskatīt var Jelgavā.","CX-5",2012,"2.2D",249000,10500,"Mazda"
"Executive komplektacija, auto pec pilnas apkopes, neprasis ne kadus ieguldij","Mazda3",2008,"2.0",328000,2995,"Mazda"
"Pārdod Mazda 626, 2.0 benzīns, tehniski un vizuālā kārtībā, sēdies un brauc","626",1999,"2.0",261000,650,"Mazda"
"2.2d 110kW. No Vācijas, Latvijā nav ekspluatēta. Ļoti laba komplektācija. Te","CX-5",2019,"2.2D",,20350,"Mazda"
"Mazda Cx-5, tikko ievesta
2.2 dīzelis (110Kw/150Zs)
Pirmreizējā reģistrāci","CX-5",2013,"2.2D",197000,10990,"Mazda"
"Auto tikko ievests no Vācijas. Ļoti labā tehniskā un vizuālā stāvoklī. Pilna","CX-5",2015,"2.2D",,15800,"Mazda"
"Mazda Cx-7 2, 2 (Dīzeļdegviela) 127Kw/173Zs
Pilnpiedziņa 4x4

Aprīkojums:","CX-7",2011,"2.2D",225000,6900,"Mazda"
"Pārdodu 2005 g. Mazda 6 1.8l bendzīns. Mazda kā jau mazda. Rūsa ir, kā arī p","Mazda6",2005,"1.8",204000,1400,"Mazda"
"Mazda CX - 3 maksimāla komplektācija - Luxury 2.0 (120 Zs) ar automātisko pā","CX-3",2017,"2.0",82000,16900,"Mazda"
"Tikko no Vācijas. 
-Ļoti lābā stavoklī. 
-Ir iespējama maiņa un līzings.","Mazda5",2008,"2.0D",207000,4100,"Mazda"
"Pārdodu ekanomisko auto labā vizuālā un tehniskkā kārtībā Mazda6 2.0d 103kw","Mazda6",2008,"2.0D",277000,4600,"Mazda"
"2.3 turbo dzinējs, 260 hp, viens no jaudīgākajiem auto savā klasē. 
Viens ī","Mazda3",2008,"2.3",181000,1900,"Mazda"
"Auto no Vācijas, Latvija nav ekspluateta, 2.2d, Dīzelis. 110kw-150z. s.","CX-5",2013,"2.2D",,11900,"Mazda"
"Mazda 3 Mps

2.3l benzīna dzinējs (191kw/260hp)

Ir nelieli vizuāli defe","Mazda3",2007,"2.3",289000,2150,"Mazda"
"Tikko ievesta laba Mazda ar ekanomisku un dinamisku dīzeļdzinēju un 6 pakāpj","Mazda6",2010,"2.0D",,2990,"Mazda"
"Mazda 626. Labā tehniskā Stāvoklī. TA izieta 2018, pēc tam nav piedalījusies","626",2000,"2.0",151000,5000,"Mazda"
"Tiko no Vācijas. Labā tehniskā un vizuālā stāvoklī. Sīkāk zvanot.","Mazda6",2011,"2.2D",214000,5300,"Mazda"
"2.2tdi 110kw. 6кпп Automašīna tikko ievesta, labā tehniskā un vizuālā stāvok","CX-5",2015,"2.2D",151000,11950,"Mazda"
"Pārdod ļoti labu, vienmēr aprūpētu mašīnu. Pirkta Latvijā salonā. Oriģināls","Mazda6",2008,"2.0",121000,4990,"Mazda"
"Mazda 6 (2008g) Zila met. 
- 2.5i, 170zs. 
- mehāniskā ātrumkārba (6-ātrum","Mazda6",2008,"2.5",437000,3000,"Mazda"
"Tirgojas Mazda 6 universālis, skate beidzas 01.11.2022. Rūc brauc ir āķis, k","Mazda6",2003,"2.0D",380000,450,"Mazda"
"Teicams stāvoklis, origināls nobraukums, ekonomisks 6-7 l/100km, jaudīgs 136","Mazda3",2010,"2.2D",196000,4500,"Mazda"
"Mazda Rx-8, Svaiga TA, Vienīgā Latvijā ar gāzi, tāpēc ļoti ekonomiskā. 

I","Rx-8",2005,"1.3",123000,4999,"Mazda"
"Tikko no Holandes, auto ar oriģinālu nobraukumu (skat. izdruku no Holandes r","Mazda3",2007,"1.6",207000,2950,"Mazda"
"2011 Mazda 3 Sedan 2.0 Benzīns 110kw/150zs ar automātisko kārbu. 
Jauns pir","Mazda3",2011,"2.0",265000,4990,"Mazda"
"Продаётся Mazda6. В придачу комплект зимних шин на литых дисках. Имеются зап","Mazda6",2006,"2.2",366000,1700,"Mazda"
"Хорошее состояние, надёжная и дешёвая в обслуживание. Средний расход 6 литро","Mazda2",2011,"1.3",135000,3500,"Mazda"
"Pārdodu Mazda Cx-5 vispilnākajā (Luxury) komplektācijā, 2.2 dīzeļa motors (1","CX-5",2015,"2.2D",180000,14300,"Mazda"
"Mazda 6 ar ekonomisku 2.0T dīzeļdzinēju (150Zs), kura vidējais degvielas pat","Mazda6",2008,"2.0D",268000,4100,"Mazda"
"Automašīna tikko no Itālijas, Latvijā nav lietota. 
Virsbūve bez rūsas un d","Mazda6",2008,"2.0D",203000,2370,"Mazda"
"Auto no vācijas ar ļoti mazu nobraukumu un tam ir sīki vizuāli defekti. Iesp","Xedos 6",1994,"2.0",,1200,"Mazda"
"Продаю Mazda 626. 
Просьба звонить после 17.00","626",1997,"2.0",241000,650,"Mazda"
"Pārdodu savu Mazda 3 2010.g. , oriģinālais nobraukums 106000. Auto teicamā t","Mazda3",2010,"1.6",106000,4000,"Mazda"
"Cx-7, 2.2Td, 127kw/173zs, Latvijā nav ekspluatēta. 
Ļoti labā tehniskā un v","CX-7",2010,"2.2D",269000,6950,"Mazda"
"Mazda 3, 18.04.2008.
77 kw, klimata kontrole, multistūre, 5 ātrumi, sēdekļu","Mazda3",2008,"1.6",278000,2400,"Mazda"
"1.6 Benzīns, Jauna Tehniskā apskate un nomaksāts ceļa nodoklis. Auto tehnisk","Mazda3",2007,"1.6",,1550,"Mazda"
"Mazda 5 2.0 CD 81 kW (110 Zs) 
Возможен обмен. 
Maskavas iela 451 A, ""latg","Mazda5",2008,"2.0D",,2790,"Mazda"
"Mazda 323sv versija(amerikānu tips)priekšā paredzēts mazais nr. 94 gada. 97k","323",1994,"1.5",98000,1500,"Mazda"
"Mazda Cx-5 Awd vispilnākajā komplektācijā Luxury Signature. 2, 5l benzīna dz","CX-5",2019,"2.5",47000,28900,"Mazda"
"07.2016. Mazda3 2.0L, MT, 115000km

Iegādāta Inchcape Motors Latvia. Viens","Mazda3",2016,"2.0",116000,10450,"Mazda"
"Mazda 5.20.dīzelis, mehāniskā 6pakāpju kārba, automašīna ļoti labā stāvoklī,","Mazda5",2008,"2.0D",241000,3750,"Mazda"
"Mazda Cx-5 , 2.2 dizelis/6 pak. manuals(110kw). Pirma registracija - 06.12.2","CX-5",2012,"2.2D",,9350,"Mazda"
"Cx-5 Luxuri Awd 130Kw/175zs
 
 Led
 Bi Xenon
 Bose музыка
 Кожаный сало","CX-5",2013,"2.2D",191000,11570,"Mazda"
"Mazda 6 2008.g. 2.0 Dīzelis

Komplektācijā:
-Jauna TA
-Lietie diski
-Li","Mazda6",2008,"2.0D",,4290,"Mazda"
"Mazda Cx-9 2011. gada izlaidums. Mašīna ir ar vispilnāko komplektāciju. Auto","CX-9",2011,"3.7",145000,10000,"Mazda"
"Tikko no Vācijas. Mazda 5 2.0 dīzelis, 2010.g. 30.06. Manuāls, 7.vietas, noņ","Mazda5",2010,"2.0D",220000,3800,"Mazda"
"Ļoti laba iesācējiem. 
2005.gadā atdzīta no Vācijas. Kopš tā laika ir bijus","626",1996,"2.0",182000,1000,"Mazda"
"Pārdod mazlietotu auto ar nelielu nobraukumu 37k. Teicamā stāvoklī. 2.0L. 88","CX-3",2018,"2.0",37000,16300,"Mazda"
"Mazda Cx7 2, 3 benzīns, 191kw/260zs, ādas salons ar sēdekļu apsildi, klimata","CX-7",2008,"2.3",199000,4550,"Mazda"
"Automašīna labā tehniskā stāvoklī, visas apkopes veiktas pie dīlera inchcape","CX-7",2012,"2.3",233000,6700,"Mazda"
"Cx-3, 2015 izl. g. , 1.5 Skyactiv-D, 77kW, 145100 km oriģināls nobraukums. A","CX-3",2015,"1.5D",,13900,"Mazda"
"Jauns Mazda Mx-30 Electric 2021. Cena ar Pvn. 

Iespējams saņemt 4500eur V","MX",2021,"E",4000,35490,"Mazda"
"Mazda-Cx7, 2.2d (127Kw=173Z. S. ), 4X4, 6-Ātrumi

31. 05. 2011gads. 

10","CX-7",2011,"2.2D",240000,6999,"Mazda"
"Mazda 5 2.0D dīzelis 105 Kw & 143 Hp vai z. s Pirmā reģ. Vācijā 19.05.2008.","Mazda5",2008,"2.0D",,4250,"Mazda"
"Glc 250d 4-Matic 150kw , Led intelligent light , Kamera 

Bagāžnieka autom","GLC 250",2016,"2.2D",165000,29800,"Mercedes"
"MB C320 Cdi 165Kw/224Hp, 4matic, Avantgarde aprīkojums. 
Loti labā stāvoklī","C320",2008,"3.0D",290000,6350,"Mercedes"
"Pārdodu Mercedes Benz E270, 2002.gada, 2.7Cdi, 130kw, 345k nobraukums. Jauna","E270",2002,"2.7D",345000,2600,"Mercedes"
"143Kw Amg Garantija Burmester Widescreen Pvn Active Brake Assist System Live","E220",2021,"2.0D",28000,53900,"Mercedes"
"No Vācijas. Mercedes Benz A170 Edition. 
Dinamisks un ērts ikdienas lietoša","A170",2007,"1.7",233000,3290,"Mercedes"
"Mercedes - Benz C200, 1.8 benzīns, 120 k. w. automātiskā ātrumkārba. Uzticam","C200",2004,"1.8",,2400,"Mercedes"
"Pārdodu koptu Mercedes Benz Gla 220 Cdi 4Matic. Automašīnai bijis viens īpaš","GLA220",2015,"2.2D",90000,22500,"Mercedes"
"Pārdodu Mersīti. Skate beidzās 30. Septembrī šogad. Nopirku citu autiņu. Lab","A160",2000,"1.6",231000,330,"Mercedes"
"Mercedes-Benz Ml400  ar 4.0 litru dīzeļdzinēju ar automātisko transmisiju
I","ML400",2004,"4.0D",331000,4800,"Mercedes"
"Mercedes-Benz ML 320 ar 3.0 litru dīzeļdzinēju un automātisko transmisiju.","ML320",2006,"3.0D",292000,8700,"Mercedes"
"Nekas nekur negrab , neklab. Sekots līdzi visiem servisa ieteikumiem eļļa fi","E200",2010,"2.2D",3e+05,8500,"Mercedes"
"E 350 4Matic Avangard 195kw jauda

- Elektro pakete
- Klimatkontrole
- B","E350",2012,"3.0D",,12950,"Mercedes"
"Pārdodu labu Mersedes Benz C270 2.7 dīzelis, ar jauno tehnisko apskati, nodo","C270",2004,"2.7D",307000,1250,"Mercedes"
"Mūsu uzņēmums pārdod šo MB 300Td automašīnu ideālā stāvoklī. 
3.0 turbodīze","300",1993,"3.0D",427000,4500,"Mercedes"
"Mersedes E270. 2.7 Дизель. Автомат. Новый техосмотр до 21.09.2023. В 2020 пр","E270",2003,"2.7D",5e+05,1999,"Mercedes"
"Steidzami pārdodu labu auto, maksimāli individuālajā komplektācijā. Auto pas","E320",2003,"3.2D",336000,2500,"Mercedes"
"Mercedes Benz E350Cdi 170kw
Pirmā reģistrācija 29.07.2010.
No Vācijas

A","E350",2010,"3.0D",252000,10290,"Mercedes"
"Pārdodu Mersedes Benz 320 Cdi Avangard, smuks glīts, Top Komplektācija. 
or","E320",2003,"3.2D",356000,3350,"Mercedes"
"Uzņēmums pārdod Mercedes Benz Sprinter L3H2, 
Cena bez Pvn 21% 13 966 Eur","Sprinter",2015,"2.2D",411000,16900,"Mercedes"
"Mb gl350d. 190kw. 

Citrine brown - metallic finish. 
Leather - beige.","GL350",2013,"3.0D",,29450,"Mercedes"
"Mercedes V 220D

Pārdod koptu gimenes auto
Auto teicamā stāvolī, neprasa","V220",2014,"2.2D",,30000,"Mercedes"
"Mercedes Benz Cls 350 Teicamā tehniskā un vizuālā kārtībā. Ziemas un vasaras","CLS350",2012,"3.5D",,17000,"Mercedes"
"Pārdodu Mercedes W164 3.0 dīzelis. 

Auto ir labā stāvoklī, brauc lieliski","ML280",2006,"3.0D",255000,6700,"Mercedes"
"Automāts, 1.8 benzīns 120kw. C200 Coupe. Latvijā no 2011. gada. No 2013. gad","C200",2004,"1.8",238000,1490,"Mercedes"
"Pārdod mīlētu un koptu E klases Mersedesu (vienās rokās 7 gadi)
Auto labā t","E200",2011,"1.8",223000,12500,"Mercedes"
"MB E270. Avangarde komplektācija. Auto labā stāvoklī. Kopts un tīrs. Tikko i","E270",2002,"2.7D",,2450,"Mercedes"
"Steidzami pārdodu auto sakarā ar došanos uz ārzemēm. 

Sīkāka informācija","C320",2008,"3.0D",249000,5870,"Mercedes"
"Pilnīgi jauna tehniska skate , pilnigi jaunas ziemas riepas . Mašīna sagatav","A180",2006,"2.0D",368000,1900,"Mercedes"
"Mercedes Benz Vito 116 Cdi automāts, 120kw/ 160 zirgspēki kravas furgons, 3","Vito",2014,"2.2D",279000,12300,"Mercedes"
"Mercedes Benz Cls 350 D 4matic Coupe Amg 
Autonams marķējums un signalizāci","CLS350",2018,"3.0D",57000,55300,"Mercedes"
"1.8i Automāts, sarkans/melns ādas salons, elektro vadāmi sēdekļi, borta komp","CLK200",2003,"1.8",240000,1190,"Mercedes"
"Mercedes-Benz Amg Line C180D teicamā vizuālā un tehniskā stāvoklī. A/m atrod","C180",2019,"1.6D",59000,32500,"Mercedes"
"Auto teicamā stāvoklī. Tikko izieta tehniskā apskate bez aizrādījumiem. Ziem","S350",2006,"3.5",251000,6950,"Mercedes"
"E350d Amg Sporta pakete. Harman Karodn mūzikas sistēma, brūns ādas salons, s","E350",2010,"3.0D",3e+05,8990,"Mercedes"
"Mercedes 209. 3.0D. B-kategorija. Pilna masa 2800kg(vinjete nav vajadzīga) D","Sprinter",1986,"3.0D",306000,1500,"Mercedes"
"Pardodu mersedes A150 uz slimibas lapas. 1.5 benzins. Tehniska 4 divnieki, n","A150",2006,"1.5",,1300,"Mercedes"
"MB C320 Cdi 165Kw/224Hp

Avantgarde aprīkojums. 
Nesen ievests. Nav daudz","C320",2008,"3.0D",231000,8300,"Mercedes"
"Mercedes Benz Ml320, 4x4, Facelift, 3.2i, Automāts. TA 07.2023 Nodoklis noma","ML320",2003,"3.2",,3490,"Mercedes"
"Cena bez Pvn 33 884 Eur. Auto ir idiālā vizuāla un tehniskā stāvoklī, gandrī","E350",2017,"3.0D",110000,41000,"Mercedes"
"Mercedes Benz C220d 125kw, Amg Pack, Automāts 9 pārnesumi, ļoti ekonomiska u","C220",2017,"2.2D",121000,23300,"Mercedes"
"Mercedes-Benz A200 2.2 Dīzelis, 100kw

Auto izcilā tehniskā un vizuālā stā","A200",2016,"2.2D",,20500,"Mercedes"
"Steidzami, sakarā ar aizbraukšanu. Ideālā stavoklī, jauna tehniskā apskate,","A180",2009,"2.0D",279000,3750,"Mercedes"
"Ērts/uzticams auto, apkopes veiktas savlaicīgi. 2+2+3=7 vietas, elektriski v","Viano",2012,"2.2D",465000,10500,"Mercedes"
"Продам или поменяю на Ауди а6 с6 , машина в хорошем состоянии работает идеал","CLS320",2007,"3.0D",262000,6600,"Mercedes"
"Mercedes Benz S320 173kw/235zs. Automats. Jūsu auto var būt kā daļa no samak","S320",2006,"3.0D",298000,10900,"Mercedes"
"Pārdodu E200 universāli, ar 2.2 dīzeļdzinēju, 100kW motors, automāts. Tikko","E200",2011,"2.2D",207000,9000,"Mercedes"
"Automāts, tikko no Nīderlandes

- pusādas salons
- 4 el. stikli
- klimat","ML270",2005,"2.7D",,3995,"Mercedes"
"Pārdod mb gle coupe idiala stāvokli, 2020 gada septembri atvestā no vācijas.","GLE 350",2018,"3.0D",90000,61000,"Mercedes"
"Pārdod mersīti, benzīns - gāze. Amg pakotne un Amg izplūde. 21. diski ar vis","ML350",2006,"3.5",226000,8900,"Mercedes"
"Полный пакет наворотов за исключением планшетов в подголовниках заднего вида","R350",2005,"3.5",157000,7000,"Mercedes"
"Pārdodu Mercedes Benz 250 2.5 dīzeli. 
Izieta tehniskā apskate, nomaksāti n","E250",1991,"2.5D",435000,1700,"Mercedes"
"Mercedes Benz E220 Avangard 
Auto teicamā tehniskā un vizuālā stāvoklī. 
L","E220",2009,"2.2D",286000,6000,"Mercedes"
"2.0 kompresors, Ziemsitis, mehānika, lūka, ekrāns, el. logi, Jauna TA uz gad","C200",2000,"2.0",276000,1390,"Mercedes"
"Sedans, manualā karba. Jauna TA. 1saimnieks, nodokļi apmaksāti pilnībā, visa","C220",2008,"2.2D",,6199,"Mercedes"
"Mercedes-Benz, E 350D 3.0 Dīzelis 190kw/258zs, 9G-Tronic

Aprīkojums:

L","E350",2018,"3.0D",214000,28900,"Mercedes"
"Pārdodu labu Mercedes ml270cdi ar Amg paketi. 
Auto laba tehniskā un vizuāl","ML270",2002,"2.7D",,2650,"Mercedes"
"Mercedes-Benz W203 C320 4Matic

Labā stāvoklī, salons lieliskā stāvoklī, b","C320",2003,"3.2",204000,3300,"Mercedes"
"Manuals C200Cdi 100kW Sedans no Vacijas, 2 atslegas, originals krasojums. 1","C200",2007,"2.2D",227000,6150,"Mercedes"
"Mercedes Benz E320 2005.g. 3.0 dīzelis ar tikko izietu tehnisko apskati un n","E320",2005,"3.2D",,3290,"Mercedes"
"Продаю Авто в отличном состояние, была сделана замену двигателя- 70000 пробе","CLS250",2015,"2.2D",170000,19000,"Mercedes"
"Продаю/pārdodu. Mercedes-Benz S500 4 matic купе. Темно серого цвета, с заказ","S500",2014,"5.0",130000,49500,"Mercedes"
"Продаю Mercedes-Benz B150, ручная Кпп, кондиционер, два комплекта резины лет","B150",2009,"1.5",209000,3950,"Mercedes"
"Pārdod Mercedes benz E320- 150kw/205zs, 

Tikko izieta jauna TA. 
Motors,","E320",2003,"3.0D",,1690,"Mercedes"
"Pārdodu ideālu ML 350 bluetec 4 matic. Patiess noskrējiens un ideāli saglabā","ML350",2015,"3.5D",305000,25000,"Mercedes"
"Mašīna inporteta no Šveice 
175000 nobraukums 
Garaža uzglabāšana
Ziemā n","190",1990,"1.8",175000,5300,"Mercedes"
"Mercedes-Benz S 500 , 4Matic Amg Design. 2016. gada. 5.0l benzīns, 335 Kw (4","S500",2016,"5.0",79000,76000,"Mercedes"
"Pārdod labi uzturētu un ekonomisku Mercedes Benz C200. Labā vizuālā un tehni","C200",2011,"2.1D",158000,10200,"Mercedes"
"Īpašnieks pārdod auto. Labā tehniskā un vizuālā stāvoklī. Gandrīz jaunas vis","C200",2008,"2.0D",335000,5150,"Mercedes"
"Auto no Itālijas, ļoti kopts un saudzēts, ļoti daudz ekstru, laicīgi viss ma","S350",2006,"3.5",324000,9500,"Mercedes"
"Mercedes benz gle350 d 4matic coupe. Auto pirks jauns latvijā. Новый автомоб","GLE 350",2021,"3.0D",17000,99700,"Mercedes"
"Продаю Mercedes Benz S500 Coupe, 4Matic, Amg Design, 335 kW (456 Hp), в идеа","S500",2015,"4.7",139000,67600,"Mercedes"
"Ml320, 3.0cdi, 4X4, automāts, Xenons, tumšs ādas + alcantara zamšādas salons","ML320",2005,"3.0D",260000,5990,"Mercedes"
"Gle 350D 4Matic, Latvijā pirkta jauna Domenikss Mercedes centrā, viens saimn","GLE 350",2017,"3.0D",158000,44990,"Mercedes"
"B250E Electric drive, 120.000km, 65kw, automāts, tikko piereģistrēts un izie","B250",2015,"E",120000,21990,"Mercedes"
"Pārdodu Mercedes Benz C 200 teicamā stāvoklī, ekonomisks un dinamisks, servi","C200",2014,"2.0",132000,17900,"Mercedes"
"Pārdod Mercedes C220, 2.2 Dīzelis, automāts

Ādas Salons

Parkošanās sen","C220",2003,"2.2D",,990,"Mercedes"
"C-Coupe. Automāts, ādas sēdekļi, klimatkontrole, lietie diski, stereo.","C200",2001,"2.0",3e+05,790,"Mercedes"
"Новое ТО, тихий, мягкий. Летние чёрные диски R19 с новой резиной и R18 с нов","CLS320",2007,"3.0D",290000,8300,"Mercedes"
"Facelift modelis. Pārdošanā izskatīgs Mercedes Cls320D 165kw. Bez pneimo pie","CLS320",2009,"3.0D",324000,8650,"Mercedes"
"Машина в хорошем техническом и визуальном состоянии. Соблюдались сервисные и","Viano",2006,"3.0D",420000,9000,"Mercedes"
"E350 Amg, Bi-Xenon, Navi, Hands-free, R18 Amg Diski, Līdzi dodu ziemas riepu","E350",2011,"3.0D",208000,12600,"Mercedes"
"Auto long versija loti laba stavokli 
Vizuvala gan tehniska stavokli ir vei","A170",2003,"1.7D",,1850,"Mercedes"
"Pārdod privātpersona. Mercedes Benz Sprinter 316 cdi. 120kw. Orģināls un pie","Sprinter",2010,"2.2D",,7550,"Mercedes"
"Pārdod Mercedes Ml320, 3.0 Dīzelis, Automāts

Melns ādas Salons

Elektri","ML320",2006,"3.0D",,5990,"Mercedes"
"Saimnieks pārdod savu automašīnu. Viss darbojas ļoti labi. Uz ceļa stabila u","C200",2003,"2.2D",361000,2000,"Mercedes"
"3.0d amg, webasto, aklo zonu asistents, navigācija, elektro bagāžnieks, ādas","E300",2010,"3.0D",284000,9990,"Mercedes"
"S350Long. Harman Kardon mūzikas sistēma. Atpakaļskata kamera, navigācija, so","S350",2011,"3.0D",261000,12990,"Mercedes"
"Малый пробег , нормальное состояние, резина 7мм м-с, ц. тяжёлых крузов не Во","Vito",2003,"2.2D",226000,1450,"Mercedes"
"A/m no Vācijas. Sedans. 2.2Cdi(100Kw), 6 ātrumi(manuāla), klimatkontrole, kr","C200",2008,"2.2D",236000,6400,"Mercedes"
"2.7Cdi Sedans, avantgarde komplektācija, ādas sēdekļi ar masāžu un apsildi,","E270",2004,"2.7D",268000,2990,"Mercedes"
"Pārdodu lolotu, aprūpētu, ļoti ekonomisku un izcilā stāvoklī esošu Mercedes-","C220",2011,"2.2D",105000,17200,"Mercedes"
"Pārdodu 9 vietu pasažieru busu, bez vinjetes. Auto ir pārmetināts un izieta","Sprinter",2004,"2.2D",719000,5650,"Mercedes"
"Pārdodu labu koptu Mercedes-Benz E280 2007 G. 3.0 patēriņš pa pilsētu 9l ārp","E280",2007,"3.0D",290000,5200,"Mercedes"
"Pārdodu Mercedes Benz C200 W203 Elegance. 2.2D, ekonomisks un jaudīgs dzinēj","C200",2005,"2.2D",265000,3400,"Mercedes"
"Cena ar iekļautu Pvn. Piedāvājam tikai kvalitatīvu komerctransportu no Eirop","Sprinter",2018,"2.1D",227000,19222,"Mercedes"
"E55 Amg Om113 260kw 

Labi saglabājies eksemplārs. 
Atrodas Jelgavā","E55 AMG",1997,"5.5",,8900,"Mercedes"
"MB E220. Avantgarde. 125 kW/ 170 z. s. No Beļģijas. Pilnā komplektācija: ele","E220",2011,"2.2D",253000,7950,"Mercedes"
"Pārdod Mercedes Benz G240 w460. Ritošā daļa kārtībā, visam kam jāstrādā, str","G240",1989,"2.4D",97000,11400,"Mercedes"
"Pārdot No Vācijas Mercedes Vito. Viss darbojās, 1.saimnieks Latvijā. Vnz net","Vito",2008,"3.0D",27000,7950,"Mercedes"
"Pārdod (Mercedes-Benz w124) 1992.g. , 3.0 dīzelis ar automātisko kārbu. Tikk","E300",1992,"3.0D",,3900,"Mercedes"
"Продается Мерседес Ml320. находится в Риге. Больше информации по телефону. В","ML320",2006,"3.0D",303000,4500,"Mercedes"
"Pārdodu MB e240 W211 svaiga TA, Benzīns/gāze , automāts. Nodoklis nomaksāts.","E240",2002,"2.4",348000,1600,"Mercedes"
"Pārdod Mercedes Benz tāds kā attēlā redzems, trūkst kapots , logu tīrītāja m","Sprinter",2002,"2.0D",,2000,"Mercedes"
"Kravas, pasažieru, piecas sēdvietas, ir starpsiena kravas nodalījumam.","Sprinter",2011,"2.2D",255000,10500,"Mercedes"
"Steidzami - Pārdodu E - class Mercedes ar tikko izietu TA. Jaudīgs un ekonom","E200",2003,"1.8",320000,1800,"Mercedes"
"Pārdodu 2011.gada Mercedes Benz E350 Cdi ar 4matic pilnpiedziņu. Ikdienā lie","E350",2011,"3.0D",215000,14000,"Mercedes"
"Mercedes-Benz B200, 2.0 dīzelis, 2007g. , 103 kW, 

automāts, 
ādas salon","B200",2007,"2.0D",161000,3990,"Mercedes"
"Pārdod vai maina pret VW busiņu no 2008 līdz 2010 gadam.","ML400",2002,"4.0D",3e+05,3800,"Mercedes"
"Pārdod vai Maiņu. 
MB Gl350Cdi Amg 3.0d V6 7G-Tronic 4matic Grand Edition “","GL350",2010,"3.0D",299000,17990,"Mercedes"
"Steidzami pardodu. W221 long, benz/gaze. 10euro uz 100km. 
Visi benki regul","S350",2007,"3.5",298000,6650,"Mercedes"
